country,ai_strategy,year_published,strategy_url,region,income_group,status
Canada,Pan-Canadian Artificial Intelligence Strategy,2017,https://ised-isde.canada.ca/site/ai-strategy/en,North America,High income,published
China,New Generation Artificial Intelligence Development Plan,2017,https://www.gov.cn/zhengce/content/2017-07/20/content_5211996.htm,East Asia,Upper middle income,published
Finland,Age of Artificial Intelligence (Finland's AI Programme),2017,https://julkaisut.valtioneuvosto.fi/handle/10024/160391,Europe,High income,published
Japan,Artificial Intelligence Technology Strategy,2017,https://www.nedo.go.jp/content/100865202.pdf,East Asia,High income,published
Singapore,AI Singapore (National AI Programme),2017,https://www.aisingapore.org/,Southeast Asia,High income,published
UAE,UAE Strategy for Artificial Intelligence 2031,2017,https://ai.gov.ae/strategy/,Middle East,High income,published
Austria,Artificial Intelligence Mission Austria 2030,2018,https://www.bmdw.gv.at/en/Topics/Digitalisation/Artificial-Intelligence.html,Europe,High income,published
Denmark,Strategy for Denmark's Digital Growth,2018,https://eng.em.dk/media/10566/digital-growth-strategy-report_uk_web-2.pdf,Europe,High income,published
France,AI for Humanity (Villani Report),2018,https://www.aiforhumanity.fr/en/,Europe,High income,white paper
Germany,National Strategy for Artificial Intelligence,2018,https://www.ki-strategie-deutschland.de/home.html,Europe,High income,published
India,National Strategy for Artificial Intelligence (#AIforAll),2018,https://www.niti.gov.in/national-strategy-artificial-intelligence,South Asia,Lower middle income,white paper
Italy,Artificial Intelligence at the Service of Citizens,2018,https://ia.italia.it/en/ai-white-paper.htm,Europe,High income,white paper
Kenya,Blockchain and AI Task Force Report,2018,https://www.ict.go.ke/blockchain-and-ai-taskforce/,Sub-Saharan Africa,Lower middle income,task force
Malaysia,National AI Framework,2018,https://airm.my/,Southeast Asia,Upper middle income,published
Mexico,Towards an AI Strategy in Mexico,2018,https://www.ia-latam.com/portfolio/towards-an-ai-strategy-in-mexico/,Latin America,Upper middle income,white paper
New Zealand,AI Forum Report: Shaping a Future New Zealand,2018,https://aiforum.org.nz/reports/,Oceania,High income,white paper
South Korea,AI R&D Strategy,2018,https://www.msit.go.kr/eng/index.do,East Asia,High income,published
Sweden,National Approach for Artificial Intelligence,2018,https://www.government.se/information-material/2018/05/national-approach-for-artificial-intelligence/,Europe,High income,published
Taiwan,Taiwan AI Action Plan,2018,https://ai.taiwan.gov.tw/,East Asia,High income,published
United Kingdom,AI Sector Deal,2018,https://www.gov.uk/government/publications/artificial-intelligence-sector-deal/ai-sector-deal,Europe,High income,published
Belgium,AI 4 Belgium,2019,https://www.ai4belgium.be/,Europe,High income,white paper
Czech Republic,National Artificial Intelligence Strategy of the Czech Republic,2019,https://www.vlada.cz/en/media-centrum/aktualne/the-national-artificial-intelligence-strategy-of-the-czech-republic-173425/,Europe,High income,published
Lithuania,Lithuanian AI Strategy: A Vision of the Future,2019,https://eimin.lrv.lt/uploads/eimin/documents/files/DI_strategija_ENG(1).pdf,Europe,High income,published
Malta,Malta: The Ultimate AI Launchpad,2019,https://malta.ai/,Europe,High income,published
Netherlands,Strategic Action Plan for Artificial Intelligence,2019,https://nlaic.com/en/,Europe,High income,published
Portugal,AI Portugal 2030,2019,https://www.incode2030.gov.pt/en/ai-portugal-2030/,Europe,High income,published
Qatar,National AI Strategy,2019,https://www.mcit.gov.qa/en/ai-strategy,Middle East,High income,published
Russia,National Strategy for the Development of AI (Decree No. 490),2019,http://kremlin.ru/acts/bank/44731,Europe,High income,executive order
United States,American AI Initiative (Executive Order 13859),2019,https://www.whitehouse.gov/ai/,North America,High income,executive order
Colombia,National Policy for Digital Transformation and AI (CONPES 3975),2019,https://www.mintic.gov.co/portal/inicio/Sala-de-Prensa/Noticias/135459:Colombia-presenta-su-marco-etico-para-la-inteligencia-artificial,Latin America,Upper middle income,published
